,checksum,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH,SiteID,Region,Name,Longitude,Latitude,Timestamp
0,0009f4e7ab7d5d41c2280b7f5398e952,0.62,3.0,7.0,103.8,0.4,21.3,60.4,37.0,12.649110641914712,70.0,5.0,1.2,6.4,7.53,TK6,Tekapo,Waitaki at SH1 Br.,171.1002468,-44.92876257,2005-06-16T11:55:00Z
1,0013bf1972cd17f3ddc78c06fa1c4717,6.1,2.0,0.0,99.2,2.6,90.7,121.5,17.0,14.915763474639842,75.0,8.0,1.6,10.8,7.66,WH1,Whangarei,Waipapa at Forest Ranger,173.6879171,-35.27520455,2011-07-18T10:50:00Z
2,00149a2788790394de6a7559f79a50bb,19.35,17.0,4.0,93.9,13.8,157.6,205.0,262.0,-14.94824404508436,695.0,45.0,8.9,10.9,7.26,AK2,Auckland,Rangitopuni at Walkers,174.6177164,-36.74608218,2009-07-22T11:15:00Z
3,00158d7411b64c2ce549e5201a20f170,3.5,19.0,8.0,100.8,5.4,344.8,143.0,696.0,-15.59647396148886,778.0,10.0,1.36,13.9,7.36,HM6,Hamilton,Ohinemuri at Karangahake,175.715083,-37.41659142,2012-05-14T12:45:00Z
4,00186e71fb6f9ac1c1872c87dcd2400c,0.06,1.0,7.0,101.7,1.5,6.3,121.5,1.0,-15.155197129414052,64.0,3.0,0.45,19.8,8.22,RO6,Rotorua,Waikato at Reids Farm,176.0771442,-38.67752695,2008-03-11T11:20:00Z
5,0018b54f66d3fc8edc9e0f60e7b5955c,2.3,8.0,8.0,96.2,26.4,127.4,167.0,223.0,-15.18189711569012,406.0,59.0,1.73,19.7,7.63,HM3,Hamilton,Waikato at Hamilton Traffic Br.,175.2888866,-37.79398973,2015-04-08T11:00:00Z
6,001999a48f1aef97be6fc5936ba903e0,0.7,3.0,1.0,99.1,0.3,7.4,73.3,19.0,15.661417561363978,118.0,6.0,0.65,14.6,7.85,AX4,Alexandra,Clutha at Millers Flat,169.4099758,-45.66636207,2006-03-15T09:30:00Z
7,0024980ac9792711f628703ece6e31db,8.9,17.0,6.0,92.7,18.2,325.5,125.2,689.0,-15.60769041310725,927.0,65.0,5.4,14.0,7.35,HM2,Hamilton,Waipa at Whatawhata,175.1516454,-37.80034414,2006-10-19T12:35:00Z
8,00266835c74638509c03c28836ecf1cb,3.8,3.0,6.0,104.2,3.0,38.8,68.3,298.0,13.263860675964596,351.0,5.0,0.51,7.3,7.42,GY2,Greymouth,Grey at Dobson,171.2977474,-42.45526028,2010-07-13T15:15:00Z
9,002a1c264f3677c983c84296a7fda968,12.6,18.0,6.0,94.2,18.0,2419.2,176.0,321.0,-14.778362562591296,765.0,111.0,48.6,10.4,7.38,AK1,Auckland,Hoteo at Gubbs,174.5167757,-36.38708527,2014-08-14T08:50:00Z
