meter,time,reading
207860297 ,0000,0.299
207860316 ,0000,0.208
207860322 ,0000,0.214
207860324 ,0000,0.064
207860359 ,0000,0.211
207860373 ,0000,1.366
207860393 ,0000,0.383
207860395 ,0000,0.353
207860402 ,0000,0.142
207860439 ,0000,0.681
207860447 ,0000,0.084
207860451 ,0000,0.175
207860500 ,0000,0.39
207860512 ,0000,0.353
207860520 ,0000,0.333
207860522 ,0000,0.193
207860531 ,0000,0.098
207860541 ,0000,0.18
207860545 ,0000,0.107
207860574 ,0000,0.69
207860604 ,0000,0.113
207860646 ,0000,0.145
207860686 ,0000,0.078
207860705 ,0000,0.802
RD07000023,0000,0.186
RD07000055,0000,0.156
RD07000070,0000,0.17
RD07000081,0000,0.114
RD07000097,0000,0.058
RD07000102,0000,0.088
RD07000309,0000,0.35
RD07000316,0000,0.228
RD07000327,0000,0.198
RX07000023,0000,0.164
RX07000024,0000,0.202
RX07000036,0000,0.112
RX07000043,0000,0.522
RX07000046,0000,0.118
RX07000053,0000,0.798
RX07000072,0000,0.068
RX07000073,0000,0.382
RX07000084,0000,0.224
RX07000087,0000,0.134
RX07000167,0000,0.165
RX07000176,0000,0.12
RX07000177,0000,0.262
RX07000179,0000,0.04
RX07000183,0000,0.146
RX07000190,0000,0.074
RX07000214,0000,0.204
RX07000240,0000,0.126
RX07000253,0000,0.106
RX07000254,0000,0.188
RX07000272,0000,0.162
RX07000281,0000,0.118
RX07000284,0000,0.948
RX07000304,0000,0.322
RX07000305,0000,0.088
RX07000329,0000,0.268
RX07000330,0000,0.223
RX07000331,0000,0.07
RX07000337,0000,0.308
RX07000338,0000,0.632
RX07000372,0000,0.142
RX07000391,0000,0.069
RX07000400,0000,0.736
RX07000404,0000,0.063
RX07000422,0000,0.054
RX07000429,0000,0.31
RX07000440,0000,0.158
RX07000445,0000,0.274
RX07000449,0000,0.114
RX07000460,0000,0.164
RX07000478,0000,0.134
RX07000484,0000,0.088
RX07000494,0000,0.11
RX07000497,0000,0.1
RX07000505,0000,0.136
RX07000517,0000,0.066
RX07000548,0000,0.108
RX07000562,0000,0.078
RX07000575,0000,0.074
RX07000583,0000,0.475
RX07000589,0000,0.155
RX07000616,0000,0.189
RX07000623,0000,0.106
RX07000633,0000,0.052
RX07000664,0000,0.406
RX07000669,0000,0.312
RX07000670,0000,0.13
RX07000680,0000,0.112
RX07000683,0000,0.084
RX07000692,0000,0.452
RX07000698,0000,0.204
RX07000703,0000,0.13
RX07000714,0000,0.066
RX07000715,0000,0.351
RX07000726,0000,0.304
RX07000735,0000,0.06
RX07000756,0000,0.235
RX07000768,0000,0.527
RX07000771,0000,0.066
RX07000775,0000,0.064
RX07000782,0000,0.102
RX07000814,0000,0.059
RX07000830,0000,0.12
RX07000838,0000,0.06
RX07000865,0000,0.24
RX07000872,0000,0.112
RX07000884,0000,0.33
RX07000901,0000,0.128
RX07000908,0000,0.771
