Transaction,Date,Price,Product ID,Quantity Purchased,Serial No,User ID,User Type
0,,3191.12,0,19,1000,-101,n
1,,1405.48,3490,23,1001,8674,n
2,,,3503,3,1002,9619,n
3,,1195.6,4372,4,1003,8513,n
4,2016-01-02,834.56,782,23,1004,9643,n
5,,3927.37,1856,11,1005,8219,n
6,,1596.71,550,39,1006,7898,n
7,,229.18,1451,37,1007,6528,
8,2016-05-01,2878.89,1862,7,1008,7485,n
9,,3343.72,2721,15,1009,9594,n
10,,2064.3,1106,31,1010,5513,n
11,,384.8,1732,33,1011,6659,n
12,,1870.08,4723,29,1012,5155,n
13,,1696.46,1507,15,1013,8423,n
14,,719.18,2291,11,1014,8436,n
15,,951.46,753,1,1015,9299,n
16,,1171.51,1325,13,1016,5125,n
17,,2352.78,1990,22,1017,6154,n
18,,3082.07,1853,7,1018,9685,n
19,,520.7,1064,25,1019,9340,n
20,,1736.71,1194,14,1020,8732,n
21,,3631.65,2038,11,1021,8362,n
22,,3593.07,2832,12,1022,7580,n
23,,401.2,541,6,1023,5181,n
24,,1176.66,2834,28,1024,5628,n
25,2016-04-02,954.68,2908,31,1025,5395,n
26,2016-08-01,1199.31,1005,28,1026,7024,
27,2016-11-02,756.1,1146,11,1027,8536,
28,2016-06-02,1279.32,2423,23,1028,5300,n
29,2016-10-01,1856.78,2553,28,1029,7306,n
30,2016-01-29,2374.34,695,17,1030,5223,n
31,,1102.26,2151,26,1031,5280,
32,,778.96,3254,4,1032,5146,n
33,2016-01-16,977.09,4265,15,1033,7883,n
34,2016-05-02,3718.68,2807,9,1034,9137,n
35,,1321.23,4480,34,1035,7652,n
36,,5036.55,1741,3,1036,5292,n
37,2016-01-23,2003.32,4014,24,1037,8204,n
38,2016-01-02,2570.65,4065,8,1038,7198,n
39,,1856.92,128,35,1039,8152,n
40,2016-01-23,2744.82,1761,1,1040,6807,n
41,2016-04-02,1551.95,1923,8,1041,5460,n
42,,1829.71,1539,1,1042,7013,n
43,,2774.96,2019,22,1043,7528,b
44,2016-06-02,165.82,1035,8,1044,9554,n
45,,3794.44,1307,16,1045,7538,n
46,2016-05-02,1548.12,2974,23,1046,6138,b
47,2016-11-01,156.68,4238,18,1047,5982,n
