Altitude,Catchment area,Catchment height,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH
11,1376,607,1.02,0,7,98.5,7.9,8.5,108.1,3,-14.70510116,82,17,0.84,21.2,7.72
320,2423,690,13.48,3,8,94,17.8,816.4,128.3,2,-14.70510116,359,62,2,21.2,7.75
220,151,672,14.42,8,8,87.5,7.4,325.5,55.8,16,-14.46651306,278,32,1.1,21.8,7.19
20,4716,605,13.62,4,6,108.2,7.3,86,96,4,-13.95170241,293,32,1.2,22.9,8.12
320,1040,820,1.66,3,0,109.9,1.2,1,88.9,149,15.39090641,254,6,0.34,18.8,8.39
15,6309,736,10.51,2,1,98.8,0.9,1553.07,60.8,22,15.01099597,173,9,1.9,20.3,7.56
15,2371,732,2.35,1,3,110.2,2.7,19.5,113.9,1,12.64911064,125,9,0.7,25,8.69
171,642,774,25.61,4,1,99.4,4,640.5,39.6,14,-15.127789,308,33,2.2,19.9,7.19
213,258,701,2.87,3,3,106,0.5,0,38.3,0,-14.70510116,104,3,0.3,21.2,7.6
20,3827,485,3.85,2,1,103,1.2,129.6,76.2,46,-14.54922678,156,9,0.94,21.6,7.8
14,8098,665,3.44,4,8,115.5,1.1,10.8,87,183,14.1509717,319,6,0.5,22.5,8.54
5,2150,449,3.62,8,5,134.2,1.3,20.1,120.4,1019,13.56760849,1233,12,1.1,23.6,9.09
15,5139,470,5.99,18,8,87.1,11.3,275.5,116,1150,14.97998665,1396,38,2,20.4,7.15
376,166,1049,1.38,2,0,100.7,1.5,3.1,119,11,15.68853084,83,5,0.2,16.3,8.16
220,1139,694,1.83,5,8,98.7,2.2,60.9,70.9,1010,-15.51547615,1129,5,0.64,18.1,7.07
488,384,1108,1.04,4,1,99.4,0.8,0,90.5,5,-15.09966887,104,3,0.25,20,8.06
76,1750,613,2.48,5,0,115.8,1.3,5.1,144,86,-14.54922678,218,5,0.35,21.6,8.63
259,787,787,1.1,6,7,97.2,4.2,118.7,58.9,323,15.64608577,394,10,1,14.4,7.25
9,20582,790,1.75,5,4,101.3,1.9,177.7,73.6,42,14.94824405,143,13,3.2,20.5,7.79
2,2001,663,1.44,3,1,117,2.8,8.5,145,4,-10.57969754,86,12,0.85,27.3,8.65
183,1404,888,1.26,2,0,101.1,1.4,15.8,55.8,13,-15.30490118,84,5,0.35,19.2,7.67
329,121,863,1.08,7,4,97.1,4.6,40.8,98.3,29,-15.54509569,91,8,0.85,17.9,7.78
655,521,1422,0.97,2,0,100.4,2.7,12,50,4,15.41071056,59,17,7.5,12.7,7.74
26,2438,342,2.35,9,3,137.5,2.9,8.5,164,5,-12.49959999,174,16,0.55,25.2,9.26
3,3494,847,0.8,4,3,111.3,1.5,1,66.8,24,-13.62534403,104,4,2,23.5,7.91
10,605,339,3.55,0,1,100.1,0.8,90.7,105.6,194,-15.61825855,344,6,1.1,17.3,7.51
244,2387,1034,0.73,3,7,99,0.6,125.9,68.4,42,15.41071056,102,9,4.4,12.7,7.8
200,87,576,5.28,2,3,100,2.7,7.4,68.1,11,-15.53061493,97,6,0.26,13.4,7.7
91,16548,902,1.84,5,8,99.5,1.9,18.7,71.4,27,15.62817968,128,11,1.6,17.2,7.63
10,12429,383,3.73,2,2,102.4,24.5,42.5,162,164,14.19859148,371,53,2,22.4,7.75
30,122,237,8.72,3,3,93.7,3.8,45.7,118.2,4,-15.55892027,102,11,1.5,17.8,7.58
