SiteID,Region,Name,Longitude,Latitude,Altitude,Catchment area,Catchment height
AK1,Auckland,Hoteo at Gubbs,174.5167757,-36.38708527,15,270,107
AK2,Auckland,Rangitopuni at Walkers,174.6177164,-36.74608218,10,82,228
AX1,Alexandra,Clutha at Luggate Br.,169.2799662,-44.73091966,305,4453,973
AX2,Alexandra,Kawarau at Chard Rd,168.8686737,-45.00799513,305,4302,1043
AX3,Alexandra,Shotover at Bowens Peak,168.7149003,-44.9916064,320,1079,1200
AX4,Alexandra,Clutha at Millers Flat,169.4099758,-45.66636207,91,16548,902
CH1,Christchurch,Hurunui at Mandamus,172.5414016,-42.79210319,442,1060,976
CH2,Christchurch,Hurunui at SH1 Br.,173.0964716,-42.90013799,60,2525,648
CH3,Christchurch,Waimakariri at Gorge,172.0510607,-43.36069571,244,2387,1034
CH4,Christchurch,Waimakariri above old HW Br.,172.6416309,-43.41896498,76,3076,854
DN1,Dunedin,Taieri at Tiroiti,170.2727477,-45.25818263,320,2423,690
DN10,Dunedin,Monowai below Gates,167.5341852,-45.8066121,213,258,701
DN2,Dunedin,Sutton at SH87,170.0940294,-45.59783272,220,151,672
DN3,Dunedin,Taieri at Outram,170.243822,-45.84805474,20,4716,605
DN4,Dunedin,Clutha at Balclutha,169.7478532,-46.23889062,9,20582,790
DN5,Dunedin,Mataura at Seaward Down,168.797037,-46.39109981,15,5139,470
DN6,Dunedin,Mataura at Parawa,168.5611638,-45.5598632,259,787,787
DN7,Dunedin,Oreti at Lumsden,168.4280496,-45.71784803,220,1139,694
DN8,Dunedin,Oreti at Riverton HW Br.,168.2658533,-46.32784979,5,2150,449
DN9,Dunedin,Waiau at Tuatapere,167.6857257,-46.13187464,14,8098,665
GS1,Gisborne,Waipaoa at Kanakanaia,177.8816102,-38.4703121,55,1571,385
GS2,Gisborne,Waikohu at No. 1 Br.,177.5614619,-38.41677638,457,30.5,722
GS3,Gisborne,Motu at Waitangirua,177.6207925,-38.20150151,425,293,622
GS4,Gisborne,Motu at Houpoto,177.6320592,-37.86546076,11,1376,607
GY1,Greymouth,Buller at Te Kuha,171.6996819,-41.83666153,15,6309,736
GY2,Greymouth,Grey at Dobson,171.2977474,-42.45526028,20,3827,485
GY3,Greymouth,Grey at Waipuna,171.7860208,-42.35617511,171,642,774
GY4,Greymouth,Haast at Roaring Billy,169.2978345,-43.94414373,53,1027,1009
